parent_id,name,end
75,人文/社会,1
75,ノンフィクション/教養,1
75,地図/旅行ガイド,1
75,ビジネス/経済,1
75,健康/医学,1
75,コンピュータ/IT,1
75,趣味/スポーツ/実用,1
75,住まい/暮らし/子育て,1
75,アート/エンタメ,1
75,洋書,1
75,絵本,1
75,参考書,1
75,その他,1
76,すべて,1
76,全巻セット,1
76,少年漫画,1
76,少女漫画,1
76,青年漫画,1
76,女性漫画,1
76,同人誌,1
76,その他,1
77,すべて,1
77,アート/エンタメ/ホビー,1
77,ファッション,1
77,ニュース/総合,1
77,趣味/スポーツ,1
77,その他,1
78,すべて,1
78,邦楽,1
78,洋楽,1
78,アニメ,1
78,クラシック,1
78,K-POP/アジア,1
78,キッズ/ファミリー,1
78,その他,1
79,すべて,1
79,外国映画,1
79,日本映画,1
79,アニメ,1
79,TVドラマ,1
79,ミュージック,1
79,お笑い/バラエティ,1
79,スポーツ/フィットネス,1
79,キッズ/ファミリー,1
79,その他,1
80,すべて,1
80,邦楽,1
80,洋楽,1
80,その他,1
81,すべて,1
81,家庭用ゲーム本体,1
81,家庭用ゲームソフト,1
81,携帯用ゲーム本体,1
81,携帯用ゲームソフト,1
81,PCゲーム,1
81,その他,1
82,すべて,1
82,キャラクターグッズ,1
82,ぬいぐるみ,1
82,小物/アクセサリー,1
82,模型/プラモデル,1
82,ミニカー,1
82,トイラジコン,1
82,プラモデル,1
82,ホビーラジコン,1
82,鉄道模型,1
82,その他,1
83,すべて,1
83,アイドル,1
83,ミュージシャン,1
83,タレント/お笑い芸人,1
83,スポーツ選手,1
83,その他,1
84,すべて,1
84,ストラップ,1
84,キーホルダー,1
84,バッジ,1
84,カード,1
84,クリアファイル,1
84,ポスター,1
84,タオル,1
84,その他,1
85,すべて,1
85,遊戯王,1
85,マジック：ザ・ギャザリング,1
85,ポケモンカードゲーム,1
85,デュエルマスターズ,1
85,バトルスピリッツ,1
85,プリパラ,1
85,アイカツ,1
85,カードファイト!! ヴァンガード,1
85,ヴァイスシュヴァルツ,1
85,プロ野球オーナーズリーグ,1
85,ベースボールヒーローズ,1
85,ドラゴンボール,1
85,スリーブ,1
85,その他,1
86,すべて,1
86,コミック/アニメ,1
86,特撮,1
86,ゲームキャラクター,1
86,SF/ファンタジー/ホラー,1
86,アメコミ,1
86,スポーツ,1
86,ミリタリー,1
86,その他,1
87,すべて,1
87,エレキギター,1
87,アコースティックギター,1
87,ベース,1
87,エフェクター,1
87,アンプ,1
87,弦楽器,1
87,管楽器,1
87,鍵盤楽器,1
87,打楽器,1
87,和楽器,1
87,楽譜/スコア,1
87,レコーディング/PA機器,1
87,DJ機器,1
87,DTM/DAW,1
87,その他,1
88,すべて,1
88,武具,1
88,使用済切手/官製はがき,1
88,旧貨幣/金貨/銀貨/記念硬貨,1
88,印刷物,1
88,ノベルティグッズ,1
88,その他,1
89,すべて,1
89,トイガン,1
89,個人装備,1
89,その他,1
90,すべて,1
90,陶芸,1
90,ガラス,1
90,漆芸,1
90,金属工芸,1
90,絵画/タペストリ,1
90,版画,1
90,彫刻/オブジェクト,1
90,書,1
90,写真,1
90,その他,1
91,すべて,1
91,画材,1
91,額縁,1
91,その他,1
92,すべて,1
92,トランプ/UNO,1
92,カルタ/百人一首,1
92,ダーツ,1
92,ビリヤード,1
92,麻雀,1
92,パズル/ジグソーパズル,1
92,囲碁/将棋,1
92,オセロ/チェス,1
92,人生ゲーム,1
92,野球/サッカーゲーム,1
92,スポーツ,1
92,三輪車/乗り物,1
92,ヨーヨー,1
92,模型製作用品,1
92,鉄道,1
92,航空機,1
92,アマチュア無線,1
92,パチンコ/パチスロ,1
92,その他,1
93,すべて,1
93,ファンデーション,1
93,化粧下地,1
93,コントロールカラー,1
93,BBクリーム,1
93,CCクリーム,1
93,コンシーラー,1
